'beta_mu', 'algorithm', 'terminate', 'init_point', 'optimal_soultion', 'ans', 'violation'
(0.1, 2)	BFGS	0.001	(0, 0, 0, 2, 2, 2, 1, 1)	(0.1098, -0.0007, 0.3387, 0.0254, 0.3044, -0.0005, -0.0037, 0.2096)	0.0905	7
(0.1, 2)	BFGS	1e-05	(0, 0, 0, 2, 2, 2, 1, 1)	(0.1002, -0.0001, 0.3744, 0.0649, 0.3001, -0.0, 0.0128, 0.1472)	0.1037	4
(0.1, 2)	BFGS	1e-08	(0, 0, 0, 2, 2, 2, 1, 1)	(0.1, -0.0, 0.377, 0.0689, 0.3, -0.0, 0.0151, 0.139)	0.1048	1
(0.1, 2)	BFGS	10	(0, 0, 0, 2, 2, 2, 1, 1)	(0.101, -0.0002, 0.3668, 0.0531, 0.3004, -0.0001, 0.0059, 0.1714)	0.1003	5
(0.1, 2)	BFGS	25	(0, 0, 0, 2, 2, 2, 1, 1)	(0.1, -0.0, 0.377, 0.0689, 0.3, -0.0, 0.0154, 0.1386)	0.1048	0
(0.1, 2)	BFGS	50	(0, 0, 0, 2, 2, 2, 1, 1)	(0.1, -0.0, 0.377, 0.0689, 0.3, -0.0, 0.0155, 0.1386)	0.1048	0
(0.1, 2)	Powell	0.001	(1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0)	(0.0957, 0.0129, 0.3442, 0.0205, 0.2815, 0.0224, -0.0033, 0.2089)	0.0907	5
(0.1, 2)	Powell	1e-05	(1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0)	(0.1001, 0.0001, 0.3877, 0.0666, 0.2784, 0.007, 0.0014, 0.1582)	0.1042	2
(0.1, 2)	Powell	1e-08	(1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0)	(0.1, 0.0, 0.3962, 0.0689, 0.2763, 0.0054, 0.0017, 0.1516)	0.1056	0
(0.1, 2)	Powell	10	(1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0)	(0.101, -0.0002, 0.3692, 0.0566, 0.2804, 0.0123, 0.002, 0.1771)	0.1005	3
(0.1, 2)	Powell	25	(1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0)	(0.1, 0.0, 0.3963, 0.069, 0.2762, 0.0054, 0.0017, 0.1514)	0.1056	0
(0.1, 2)	Powell	50	(1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0)	(0.1, 0.0, 0.3964, 0.069, 0.2762, 0.0054, 0.0017, 0.1514)	0.1056	0
